SalesOrderNumber,OrderDate,ProductKey,OrderQuantity,UnitPrice,TotalProductCost,SalesAmount,Markup
SO51267,2020-01-02,214,1,34.99,13.09,34.99,21.90
SO51309,2020-01-05,214,1,34.99,13.09,34.99,21.90
SO51374,2020-01-09,214,1,34.99,13.09,34.99,21.90
SO51375,2020-01-09,214,1,34.99,13.09,34.99,21.90
SO51377,2020-01-09,214,1,34.99,13.09,34.99,21.90
SO51393,2020-01-10,214,1,34.99,13.09,34.99,21.90
SO51400,2020-01-10,214,1,34.99,13.09,34.99,21.90
SO51403,2020-01-10,214,1,34.99,13.09,34.99,21.90
SO51404,2020-01-10,214,1,34.99,13.09,34.99,21.90
SO51407,2020-01-11,214,1,34.99,13.09,34.99,21.90
SO51426,2020-01-12,214,1,34.99,13.09,34.99,21.90
SO51427,2020-01-12,214,1,34.99,13.09,34.99,21.90
SO51436,2020-01-12,214,1,34.99,13.09,34.99,21.90
SO51437,2020-01-12,214,1,34.99,13.09,34.99,21.90
SO51449,2020-01-13,214,1,34.99,13.09,34.99,21.90
SO51454,2020-01-13,214,1,34.99,13.09,34.99,21.90
SO51502,2020-01-17,214,1,34.99,13.09,34.99,21.90
SO51508,2020-01-17,214,1,34.99,13.09,34.99,21.90
SO51532,2020-01-19,214,1,34.99,13.09,34.99,21.90
SO51537,2020-01-19,214,1,34.99,13.09,34.99,21.90
SO51549,2020-01-20,214,1,34.99,13.09,34.99,21.90
SO51550,2020-01-20,214,1,34.99,13.09,34.99,21.90
SO51560,2020-01-20,214,1,34.99,13.09,34.99,21.90
SO51585,2020-01-21,214,1,34.99,13.09,34.99,21.90
SO51590,2020-01-22,214,1,34.99,13.09,34.99,21.90
SO51595,2020-01-22,214,1,34.99,13.09,34.99,21.90
SO51602,2020-01-22,214,1,34.99,13.09,34.99,21.90
SO51617,2020-01-23,214,1,34.99,13.09,34.99,21.90
SO51624,2020-01-24,214,1,34.99,13.09,34.99,21.90
